Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,MorningStar Rating
47.42,0.0,27.89,19.92,37.59,76.69,23.25,2.72,2.42,2.34,3.0
30.26,1.27,7.951219512195123,24.07,23.77,53.68,13.04,1.64,4.22,1.24,2.0
64.51,1.57,25.8,34.08,47.81,64.95,10.62,1.07,3.08,1.87,2.0
115.84,3.01,19.12,48.86,93.74,116.98,53.52,7.86,3.06,2.37,2.0
25.85,0.4,60.68,21.43,15.39,27.9,13.68,2.83,1.75,1.19,2.0
94.53,0.0,337.61,5.2,58.46,133.27,40.47,0.36811,5.78,17.63,2.0
22.03,2.83,24.42,12.04,16.04,22.14,7.04,1.28,1.49,1.81,2.0
62.38,1.06,30.3,7.85,47.25,68.19,106.24,5.06,3.28,7.69,3.0
192.93,1.66,18.57,30.46,152.31,193.99,34.91,3.54,1.46,6.21,2.0
27.66,4.76,5.068292682926829,43.6,25.74,56.64,10.39,2.05,0.72,0.65,2.0
10.9,5.49,1.0754716981132073,28.85,8.8,26.93,3.42,3.18,0.21,0.38,3.0
73.67,3.11,14.46,40.93,64.51,111.76,21.97,3.94,2.1,1.81,3.0
24.63,2.88,19.93,10.61,20.66,38.93,7.22,0.6025,1.28,2.36,3.0
59.52,2.36,14.92,36.27,54.38,79.25,13.65,0.0,2.84,1.62,3.0
39.75,3.77,35.81,23.13,33.9,50.7,12.74,1.82,0.76,1.69,2.0
31.89,1.46,29.53,8.29,19.09,33.94,17.19,1.08,3.42,3.84,1.0
11.49,1.7,10.438184663536775,20.29,10.74,17.07,6.67,0.639,0.79,0.57,4.0
10.87,1.8,9.874804381846635,20.29,10.21,17.52,6.31,0.639,0.74,0.53,4.0
60.12,3.99,55.21,24.5,43.15,61.34,15.06,0.92653,14.58,2.43,2.0
15.08,0.0,2.474541751527495,2.89,11.58,26.41,2.43,0.982,0.4,5.3,3.0
21.37,11.5,14.3,1.98,18.84,51.53,4.47,1.4,0.52,10.86,2.0
77.71,2.59,17.62,10.23,64.12,80.98,18.62,2.21,1.22,7.52,3.0
37.29,1.62,17.98,10.91,33.13,45.24,156.66,15.21,4.11,3.36,3.0
267.27,0.0,29.15,20.07,202.44,277.96,26.12,1.72,3.24,13.14,2.0
69.65,4.19,10.568588469184888,31.91,58.24,82.06,53.16,5.03,4.25,2.18,2.0
52.14,3.24,25.95,5.15,41.59,54.78,18.82,1.22,6.56,10.03,3.0
51.82,1.84,11.49,19.76,43.46,68.44,18.21,2.77,0.94,2.59,3.0
58.34,3.22,32.59,33.69,47.33,58.46,28.75,4.07,1.68,1.71,2.0
1263.41,0.0,25.55,177.29,954.02,1476.52,62.69,3.5,6.8,7.13,4.0
45.09,1.94,24.33,13.84,38.51,53.07,4.44,0.46429,0.89,3.25,3.0
43.74,3.74,13.25,25.59,36.8,44.18,22.13,4.29,2.11,1.7,2.0
100.67,2.81,27.42,8.33,76.48,103.44,145.51,12.25,2.28,11.96,3.0
